test_case_id,module,role,route,title,precondition,steps,expected_result,priority,type,status
CUS-001,Landing,Customer,/,Load landing page,"App is running locally","1. Open / | 2. Review hero, CTA buttons, and top-level navigation","Landing page renders without layout issues and CTA links to /app, /login, and /merchant are visible and clickable",High,Navigation,Not Run
CUS-002,Auth,Customer,/login,Customer login redirect,"App is running locally","1. Open /login | 2. Click the customer entry button","User is routed to /app and customer shell loads",High,Navigation,Not Run
CUS-003,Auth,Customer,/register,Customer register redirect,"App is running locally","1. Open /register | 2. Click the mock sign-up CTA","User is routed to /app after registration CTA",Medium,Navigation,Not Run
CUS-004,Home,Customer,/app,Load customer home shell,"App is running locally","1. Open /app | 2. Verify header, cart badge, and mobile bottom navigation","Customer home renders with navigation, header actions, and no broken sections",High,UI,Not Run
CUS-005,Search,Customer,/app/search,Search updates product results,"Customer shell is accessible","1. Open /app/search | 2. Enter a product keyword in the search input","Visible product results update to match the entered query",High,Functional,Not Run
CUS-006,Categories,Customer,/app/categories/[categoryId],Open category product listing,"Customer shell is accessible","1. From /app open any category link | 2. Review the resulting listing page","Category page opens and shows products matching the selected category",High,Navigation,Not Run
CUS-007,Store,Customer,/app/stores/[storeId],Open store detail page,"Customer shell is accessible","1. From home or category listing open any store card | 2. Review store profile and products","Store page shows store details and that store's product list",High,Navigation,Not Run
CUS-008,Product,Customer,/app/products/[productId],Open product detail page,"Customer shell is accessible","1. Open any product detail page from a product card | 2. Review price, pickup window, and quantity controls","Product detail renders with pricing, pickup information, and add-to-cart controls",High,Functional,Not Run
CUS-009,Cart,Customer,/app,Quick add from product card,"Cart is empty","1. Open /app or /app/search | 2. Click quick add on a product card","Product is added immediately and the cart badge increments",High,State,Not Run
CUS-010,Cart,Customer,/app/products/[productId],Add to cart from product detail,"Cart is empty","1. Open a product detail page | 2. Set quantity within stock limit | 3. Click add to cart","Selected quantity is added to cart and cart badge updates",High,State,Not Run
CUS-011,Cart,Customer,/app,Block cross-store cart mix,"Cart already contains an item from one store","1. Add a product from Store A | 2. Open a product from Store B | 3. Try to add it to cart","Confirmation dialog appears before replacing the existing cart with another store's item",High,Functional,Not Run
CUS-012,Cart,Customer,/app/cart,Update cart quantities,"Cart contains at least one item","1. Open /app/cart | 2. Increase quantity | 3. Decrease quantity","Quantity changes stay within available stock and totals update correctly",High,State,Not Run
CUS-013,Cart,Customer,/app/cart,Remove and clear cart items,"Cart contains at least two items from the same store","1. Open /app/cart | 2. Remove one item | 3. Use clear cart action","Selected item is removed and clear cart empties the full cart",High,Functional,Not Run
CUS-014,Checkout,Customer,/app/checkout,Place order with mock payment,"Cart contains at least one item","1. Open /app/cart | 2. Continue to /app/checkout | 3. Select PromptPay or mobile banking | 4. Place the order","Order is created in local state, cart is emptied, and user is redirected to /app/orders/[orderId]",High,Functional,Not Run
CUS-015,Orders,Customer,/app/orders,Review active orders and history,"At least one order exists","1. Open /app/orders | 2. Switch between active and history tabs","Orders appear in the appropriate tab groups based on their current status",Medium,Functional,Not Run
CUS-016,Orders,Customer,/app/orders/[orderId],Review order detail,"At least one order exists","1. Open any order detail page | 2. Review status, pickup code, totals, and payment method","Order detail shows the correct status badge, pickup code, line items, totals, and payment method",High,UI,Not Run
CUS-017,Profile,Customer,/app/profile,Review customer profile summary,"Customer shell is accessible","1. Open /app/profile | 2. Review summary cards and settings link","Profile page renders summary information and a working link to settings",Medium,UI,Not Run
CUS-018,Settings,Customer,/app/settings,Trigger suspended customer state,"Customer shell is accessible","1. Open /app/settings | 2. Use the demo suspend toggle/action | 3. Return to a customer route","Customer state changes to suspended and customer pages reflect the suspended account state",High,State,Not Run
CUS-019,PWA,Customer,/offline,Review offline fallback page,"App is running locally","1. Open /offline | 2. Review the page layout and messaging","Offline fallback page renders cleanly without missing content or broken layout",Medium,UI,Not Run
MER-001,Merchant Dashboard,Merchant,/merchant,Load merchant dashboard,"App is running locally","1. Open /merchant | 2. Review merchant shell, sidebar, and summary cards","Merchant dashboard renders with shell navigation, store summary cards, and recent data panels",High,Navigation,Not Run
MER-002,Merchant Dashboard,Merchant,/merchant,Dashboard navigation to management pages,"Merchant dashboard is accessible","1. Open /merchant | 2. Use links from recent orders or top products cards","Links navigate correctly to merchant management pages such as /merchant/orders and /merchant/products",Medium,Navigation,Not Run
MER-003,Merchant Products,Merchant,/merchant/products,Load merchant products list,"Merchant dashboard is accessible","1. Open /merchant/products | 2. Review visible product rows","Only products belonging to the demo merchant store are listed",High,Functional,Not Run
MER-004,Merchant Products,Merchant,/merchant/products,Edit product price and stock,"Merchant products page is open","1. Enter edit mode on a product row | 2. Change price and stock values | 3. Save or apply the update","Updated price and stock values are reflected immediately in local merchant state",High,State,Not Run
MER-005,Merchant Products,Merchant,/merchant/products,Cycle product status,"Merchant products page is open","1. On a product row click the status change action repeatedly","Product status cycles through the available states and the badge updates immediately",Medium,Functional,Not Run
MER-006,Merchant Orders,Merchant,/merchant/orders,Load merchant orders list,"Merchant dashboard is accessible","1. Open /merchant/orders | 2. Review listed orders","Only orders for the merchant's store are shown",High,Functional,Not Run
MER-007,Merchant Orders,Merchant,/merchant/orders,Advance order status,"Merchant orders page has at least one order","1. Open /merchant/orders | 2. Advance an order to the next status","Order status updates immediately in local state and the visible badge text changes",High,State,Not Run
MER-008,Merchant Settings,Merchant,/merchant/settings,Update merchant store settings,"Merchant dashboard is accessible","1. Open /merchant/settings | 2. Edit store fields | 3. Save or apply the changes","Updated store values are saved in-session and reflected in merchant state",High,State,Not Run
MER-009,Merchant Dashboard,Merchant,/merchant,Verify settings changes on dashboard,"Merchant store settings were updated in the current session","1. Return to /merchant after updating settings | 2. Review displayed store details","Dashboard shows the latest in-session store values after settings changes",Medium,Functional,Not Run
